Goliath				巨人
有关形式与内容的争论:debates about form and content




binge | BrE bɪn(d)ʒ, AmE bɪndʒ | informal 名词:大吃大喝/不及物动词:尽情享用
饮酒行乐:to go on a binge
饮食无度 [尤指进食障碍]:to have a binge
大嚼巧克力:to binge on chocolate




on a par with | 与…同样; 与…相似;
格拉斯哥部分地区的入室盗窃案与伦敦、利物浦最乱的地区一样猖狂。
Parts of Glasgow are on a par with the worst areas of London and Liverpool for burglaries.






shift | BrE ʃɪft, AmE ʃɪft | 及物动词:挪动；转移；转嫁，改变；换挡；大吃大喝；卖出/不及物动词:挪动，演变；换挡；快速移动；独自谋生/名词:变换；轮班员工，轮班时间；将就着用；直筒连衣裙；转换键；断层
谁来帮我挪一下这架钢琴？:will somebody help me shift this piano?
改变立场:to shift one's ground
他把扛的东西从左肩换到右肩:he shifted the load from his left shoulder to his right
他已经下定了决心，我无法动摇他:he's made his mind up, and I can't make him shift




sharply | BrE ˈʃɑːpli, AmE ˈʃɑrpli | 副词:突然，突然大幅度地；尖刻的；鲜明的；机敏的；猛地
literal 使某事物变清晰/figurative 使某事物成为焦点:to bring sth sharply into focus
绝顶聪明:to be sharply intelligent
“有问题吗？”他厉声喝问。:'Is there a problem?' he asked sharply.





across | BrE əˈkrɒs, AmE əˈkrɔs,əˈkrɑs | 介词:横穿过；在...对面或对岸；遍及/副词:从一边到另一边，到对面
在河上建一座桥:to build a bridge across the river
她在房间另一头向他们喊叫:she shouted across the room to them
公司在世界各地都设有分支机构:the company has branches across the world
我们游过去好了:we could just swim across




broaden | BrE ˈbrɔːd(ə)n, AmE ˈbrɔdn | 及物动词:扩大，增加，开拓；/不及物动词:扩大，增加；变宽
旅行使人眼界开阔:travel broadens the mind
他笑逐颜开:his smile broadened
在城市工作的一年拓宽了他的视野。
Spending a year working in the city helped to broaden his horizons.



range | BrE reɪn(d)ʒ, AmE reɪndʒ | 名词:种类；系列；幅度，范围，水平；音域；听觉范围；知识面，水平；范围；视野，视界，听觉范围；量程；射程；距离；行程，航程；山脉；牧场；射击场，武器试验场；炉灶；煤气灶，电灶；/及物动词:排列了；使...采取某种姿态；漫游于；/反身动词:排列；采取某种姿态/不及物动词:延伸；变动；包括；漫游
各种各样的看法/设施:a wide range of opinions/facilities
把新的产品系列投入市场:to launch a new product range
在30%－40%之间（的增长）:(an increase) in the 30-40% range
孩子们整齐地排在舞台前:the children ranged themselves neatly in front of the stage




rival | BrE ˈrʌɪv(ə)l, AmE ˈraɪvəl | 名词:竞争对手/形容词:相互竞争的，对抗的/及物动词:与...不相上下
情敌:rivals in love
无与伦比:without rival
（在某方面）比得上某人:to rival sb (for or in sth);
他有多卑鄙，就有多愚蠢:his stupidity is rivalled only by his meanness




documentary | BrE dɒkjʊˈmɛnt(ə)ri, AmE ˌdɑkjəˈmɛnt(ə)ri | 名词:纪录片，纪实节目/形容词:纪实的，纪实性的；书面的
纪录片:a documentary film
跟单信用证:a documentary letter of credit
这部纪录片从十分负面的角度来描绘他。
The documentary presents him in a very unfavourable light.




programme | BrE ˈprəʊɡram | AmE | British 名词:计划，日程；曲目；节目单；节目；频道/及物动词:设定；安排；命定
引进/启动/施行计划:to introduce/launch/carry out a programme
点播节目:a request programme
我把你的号码设在了我的手机里:I've got your number programmed into my mobile phone




indefatigable | BrE ˌɪndɪˈfatɪɡəb(ə)l, AmE ˌɪndəˈfædəɡəb(ə)l | 形容词:不知疲倦的
不懈的勤奋:
indefatigable diligence
他不屈不挠的精神帮助他对抗病魔。:
His indefatigable spirit helped him to cope with his illness




clan | BrE klan, AmE klæn | 名词:宗族；大家族
宗族族长约瑟夫·肯尼迪通过一系列便笺和博比交流。
Joseph Kennedy, the clan's patriarch, communicated with Bobby in a series of notes.






multiply | BrE ˈmʌltɪplʌɪ, AmE ˈməltəˌplaɪ | 及物动词:乘；使成倍增加/不及物动词:做乘法；成倍增长；繁殖/副词:多样地
A乘以B:to multiply A by B;
将A与B相乘:to multiply A and B (together);
多才多艺的艺术家:a multiply gifted artist
多处受伤的病人:a multiply injured patient




single | BrE ˈsɪŋɡ(ə)l, AmE ˈsɪŋɡəl | 形容词:仅有一个的；单一的；单人的；单程的；单身的；单瓣的/名词:单程票；单人房间；单曲唱片，单曲的；一垒打；一元纸币；散座；单份；/复数形式:单身人士(的)；单打比赛
我们一天内走了30英里:we walked thirty miles in a single day
（以）一位数:(in) single figures
单桅船:a single-masted vessel
即便只有一票反对，这个动议也不能通过:even if there is a single vote against, the motion fails




revenue | BrE ˈrɛvənjuː, AmE ˈrɛvəˌn(j)u | 名词:收入；总收入
收入来源:a source of revenue
广告收入:advertising revenue
石油总收入:oil revenues
这份合约相当于公司20%的年收入。:This contract represents 20% of the company's annual revenue






draw level with | 与...拉平











toast | BrE təʊst, AmE toʊst | 名词:烤面包片；干杯；/及物动词:烤；供暖；为...干杯/及物动词:取暖
一片烤面包片:a piece or slice of toast
«person, bed, room» 很温暖:to be as warm as toast
（为某人/某事物）干杯:to drink a toast (to sb/sth)
这面包烤后味道很好:this bread tastes good toasted




slip | BrE slɪp, AmE slɪp | slipped 不及物动词:滑倒，打滑；滑动；没挂上；轻快的滑动；悄悄溜走；逃脱；滑落；降低；/及物动词:悄悄放；悄悄给；解开；挣脱；/名词:滑倒；差错；下降；衬裙；枕套；纸片，通知单；防守位置；滑坡；滑移；
literal 踩到香蕉皮滑倒:to slip on a banana skin
剃刀一滑割伤了我的面颊:the knife slipped and cut my cheek
落后于进度安排: to slip behind schedule
让幸福从指缝间溜掉:to let happiness slip through one's fingers



rock | BrE rɒk, AmE rɑk | 名词:岩石；石山；礁石；巨岩石；石块；棒棒糖；宝石，钻石；/及物动词:轻轻摇晃；使...剧烈晃动；使...震惊/不及物动词:轻轻摇晃；剧烈摇晃；很棒；挤满欢快起舞的人；跳摇滚舞；演奏摇滚乐；
坚如磐石的:(as) firm or solid as a rock
岿然不动的/沉着冷静的/十分可靠的:steady as a rock
进退两难的:caught or stuck between a rock and a hard place
触礁/陷于困境/加冰块的:to be on the rocks




rattle | BrE ˈrat(ə)l, AmE ˈrædl | 不及物动词:乒乓响；当啷响；砰砰响；卡擦卡擦的行驶；及物动词:使...乒乓响；使紧张，使害怕/名词:乒乓声
我听到箱子里的东西哗啦哗啦响:I could hear things rattling inside the box
咔嚓咔嚓地沿街道前进: to rattle along the street;
informal 惹火某人:to rattle sb’s cage
被激怒:to get rattled



continent | BrE ˈkɒntɪnənt, AmE ˈkɑnt(ə)nənt | 名词:大陆
亚洲大陆:the Asian continent
欧洲大陆:Continental Europe




byword | BrE ˈbʌɪwəːd, AmE ˈbaɪˌwərd | 名词:典范；格言
成为某事的典范:to be/become a byword for sth;
优雅的代名词:a byword for elegance
谨慎是他的座右铭:caution is his byword



immortalize | BrE ɪˈmɔːtəlʌɪz, AmE ɪ(m)ˈmɔrdlˌaɪz | 及物动词:使...千古留名；使...永生
诗人爱上了她，并以诗歌使她名传后世。:The poet fell in love with her and immortalized her in his verse.




decade | BrE ˈdɛkeɪd,dɪˈkeɪd, AmE ˈdɛkeɪd | 名词:十年
十年前:a decade ago
2010年──一个新十年的开始:2010 — the beginning of a new decade




nigh | BrE nʌɪ, AmE naɪ | 形容词:近的/副词:靠近；几乎
世界某日快到了:the end of the world is nigh
接近:to draw nigh
…几乎是不可能的:it is nigh (on) impossible to …
接近四十:to be nigh on forty



resurgence | BrE rɪˈsəːdʒ(ə)ns, AmE rəˈsərdʒəns | 名词:复兴
兴趣的重新激发:a resurgence of interest
疲软经济的复苏:the resurgence of the flagging economy




rail | BrE reɪl, AmE reɪl | 名词:栏杆，舷栏；横栏；铁轨；铁路；/不及物动词:怒斥
窗帘杆:a curtain rail
literal 出轨:to come or go off the rails
乘火车:by rail
铁路运输/旅行/网/工人:rail transport/journey/network/worker





unearthly | BrE ʌnˈəːθli, AmE ˌənˈərθli | 形容词:超自然的，神秘的，怪异的；荒唐的
令人毛骨悚然的寂静/尖叫:an unearthly silence/scream
过分早地:at an unearthly hour





budget | BrE ˈbʌdʒɪt, AmE ˈbədʒət | 名词:预算；预算案/形容词:便宜的，低廉的，花钱少的/及物动词:把...编入预算/不及物动词:做预算安排
超出/未超出预算:to go over/stay within budget
预算很紧:to be on a tight budget
我准备明年花400英镑度假:I've budgeted £400 for next year's holiday
我们在计划明年的度假费用:we're budgeting for next year's holiday




shame | BrE ʃeɪm, AmE ʃeɪm | 名词:羞愧感；耻辱；令人遗憾的事物；/及物动词:使羞愧；使...蒙羞
羞愧难当:to nearly die of shame
使某人蒙羞:to put sb/sth to shame/to bring shame upon or on sb or sb's head
贫穷并不丢人:there's no shame in being poor
这事非常令人遗憾:t's a great or dreadful or terrible shame




sweep | BrE swiːp, AmE swip | 及物动词:清扫；扫去；推送；清除；一举送入；在...范围内大获全胜；横扫，席卷，扫过；掠过；搜索；掠；获得...的全部胜利，完胜/不及物动词:打扫；横扫，席卷；快速移动；堂皇地移动；一举进入；延伸；名词:扫；挥动；掠；绵延弯曲的地带；范围；广度；搜寻；扫荡；连胜/复数:收视率调查
把面包屑扫到地板上/扫进垃圾桶/扫成一堆:to sweep the crumbs on to the floor/into the wastebasket/into a heap
激流把圆木冲向河的下游:the current swept the logs down the river
使某人对自己一见倾心:to sweep sb off his/her feet
风从东边吹来:the wind swept in from the east




entire | BrE ɪnˈtʌɪə,ɛnˈtʌɪə, AmE ənˈtaɪ(ə)r | 形容词:全部的；绝对的
全家/全世界:the entire family/world
整整300万人口:the entire three million population
我们完全同意你的意见:we are in entire agreement with you
我们的全力支持:our entire support



compartment | BrE kəmˈpɑːtm(ə)nt, AmE kəmˈpɑrtmənt | 名词:车厢；隔间，隔层，舱
卧铺/头等车厢:a sleeping/first-class compartment
这只手提箱有一个暗层:the briefcase has a secret compartment
他把生活分成几部分：家庭、办公室以及足球俱乐部:he kept his life in separate compartments: home, office, and the football club




geography | BrE dʒɪˈɒɡrəfi,ˈdʒɒɡrəfi, AmE dʒiˈɑɡrəfi | 名词:地理学；地形
地理书/课:a geography book/lesson
交战区的地势:the geography of the war zone
有良好的/很差的方位感:to have a good/poor sense of geography



argument | BrE ˈɑːɡjʊm(ə)nt, AmE ˈɑrɡjəmənt | 名词:争吵；辩论；理由；主题
与某人吵架:to have/get into an argument with sb;
据理力争:to have a reasoned argument
一面之词:one side of the argument
提出理由: to advance or put forward an argument




depart | BrE dɪˈpɑːt, AmE dəˈpɑrt | 不及物动词:出发；背离；及物动词:去世
动身去某目的地: to depart for a destination
你违背了你最初的理论:ou have departed from your original theory
一改通常的做法:to depart from one's usual routine
去世:to depart this life





internal | BrE ɪnˈtəːn(ə)l, AmE ɪnˈtərnl | 形容词:里面的；体内的；内心的；内部的；国内的
机器的内部运转情况:the machine's internal workings
内角:internal angle
内在的一致性: internal consistency




neighboring | BrE ˈneɪb(ə)rɪŋ, AmE ˈneɪbərɪŋ |
这两个邻国之间的政治和解已经取得进展。
Progress has been made towards a political compromise between the two neighboring countries.





capital | BrE ˈkapɪt(ə)l, AmE ˈkæpədl | 名词:大写字母；首都，首府，省会；重要城市；资本；资方；好处/形容词:可处死刑的；主要的/名词:柱顶
她确实发疯了:she's crazy with a capital C
世界时装之都:the fashion capital of the world
5万英镑的启动资金:a starting capital of £50,000
劳资双方:capital and labour



ideal | BrE ʌɪˈdɪəl,ʌɪˈdiːəl, AmE aɪˈdi(ə)l | 形容词:理想的；最适合的；完美的/名词:典范；原则；理念
最合适某人/某事物:to be ideal for sb/sth;
女性/基督教的典范:the feminine/Christian ideal
在理想的世界里将没有贫穷和疾病。:In an ideal world there would be no poverty and disease.




paradise | BrE ˈparədʌɪs, AmE ˈpɛrəˌdaɪs | 名词:天堂，伊甸园；乐园；极乐
山上/热带的人间乐园:a mountain/tropical paradise
艺术家/购物者的天堂:an artist's/a shopper's paradise
古埃及人把天堂视为他们现实生活的理想形式。:The ancient Egyptians saw paradise as an idealized version of their own lives.










crisis | BrE ˈkrʌɪsɪs, AmE ˈkraɪsɪs | 名词:危机
发展到危急关头:to reach a crisis
个人/感情危机:a personal/an emotional crisis





shortage | BrE ˈʃɔːtɪdʒ, AmE ˈʃɔrdɪdʒ | 名词:缺乏
住房短缺: a housing shortage
申请人/机会很多:there is no shortage of applicants/opportunity
在匮乏时期:at a time of shortage





steadily | BrE ˈstɛdɪli, AmE ˈstɛdəli | 副词:rise, fall逐步地，louder越来越；breath均匀地，pump有规律地；work持续地；say平静地，drive平稳地
凝视某人:to look steadily at sb





worsen | BrE ˈwəːs(ə)n, AmE ˈwərs(ə)n | 不及物动词:变得更糟/及物动词:使变得更糟
例句:The shortage has been steadily worsening since last year.






initially | BrE ɪˈnɪʃ(ə)li, AmE ɪˈnɪʃ(ə)li | 副词:起初
例句:Initially the problem was only a temporary delay in supplies as factories shutdown when the coronavirus pandemic first hit.





temporary | BrE ˈtɛmp(ə)rəri, AmE ˈtɛmpəˌrɛri | 形容词:contract, visa, arrangement短期的，job, accommodation, solution临时的
例句:Initially the problem was only a temporary delay in supplies as factories shutdown when the coronavirus pandemic first hit.






supply | BrE səˈplʌɪ, AmE səˈplaɪ | 名词:供应量；供应；供给；代课教师/复数形式:补给品，用品/及物动词:供应，为...供应，满足
储存的食物快吃完了:supplies of food are almost exhausted
供应不足/充足:in short/plentiful supply
向工厂供应原材料:the supply of raw materials to the factory
他们被指控向叛乱者提供武器:they were accused of supplying arms to the rebels
这条船配有卫星导航系统:the boat is supplied with satellite navigation




pandemic | BrE panˈdɛmɪk, AmE pænˈdɛmɪk | 形容词:大范围流行的/名词:大流行病








surge | BrE səːdʒ, AmE sərdʒ | 不及物动词:使强烈感受到，急剧上涨，激增；涌动；冲刺；浪涌/名词:突发；激增；涌动；冲刺；浪涌
在某人内心/某物内部迸发:to surge within sb/sth
她顿感如释重负:relief surged through her
激增到创纪录的高度:to surge to a record high
向前涌动/涌出去:to surge forward/out




fuel | BrE fjuː(ə)l, AmE ˈfju(ə)l | 名词:燃料；营养物；刺激因素/及物动词：用作...的燃料；给...加燃料；使...加剧/不及物动词:加燃料
用尽/没有燃料:to run/be out of fuel;
加燃料: to take on fuel;
使某人更是怒火中烧:to add fuel to one's anger
以石油/天然气为燃料: to be fuelled by oil/gas




mighty | BrE ˈmʌɪti, AmE ˈmaɪdi | 形容词:强大的；巨大的，浩瀚的；强有力的；极大的/复数:强有力的人the mighty/副词:非常US informal
盛气凌人的:high and mighty
笔比剑更锋利:the pen is mightier than the sword
参天大树，生于毫末:from little acorns mighty oak trees grow
对种族主义的一次重创:a mighty blow against racism



semiconductor | BrE ˌsɛmɪkənˈdʌktə, AmE ˈsɛmikənˌdəktər,ˈsɛmˌaɪkənˌdəktər | 名词:半导体








annually | BrE ˈanjʊəli,ˈanjʊli, AmE ˈænjuəli | 副词:每年







keep up with |  跟上...的速度；同步完成；与...同步进度；与...同步增长；和...同步学习；理解；保持了解；与...保持联系；按时支付
很难跟上其他人:to have difficulty keeping up with the others
按期为订单供货:to keep up with orders
养老金的增加跟不上生活费用的增长速度:pensions are barely keeping up with the cost of living
你们明白我的意思吗:are you keeping up with me?



persist | BrE pəˈsɪst, AmE pərˈsɪst | 不及物动词:持续存在；坚持不懈
如果症状不消除，就去看医生:if symptoms persist, consult your doctor
你若固执，就得不到他人的帮助:if you (will) persist, you'll get no help from anyone
坚持 ‹policy, idea›:to persist with sth;
坚持某事/做某事:to persist in sth/in doing sth;



significantly | BrE sɪɡˈnɪfɪk(ə)ntli, AmE səɡˈnɪfəkəntli | 副词:显著地；带有含义地‹name, label›；耐人寻味地‹glare, look, smile›
明显更高/更低的:significantly higher/lower
大不相同的:significantly different
并不大的/没快多少的:not significantly bigger/faster



chain | BrE tʃeɪn, AmE tʃeɪn | 名词:链条；束缚；一系列，一连串；岛链；链；/及物动词:用链条拴住
一截链条:a length of chain
给某人戴上镣铐:to put or keep sb in chains
冲马桶:to pull the (lavatory) chain
贫穷的枷锁:the chains of poverty
他们排成了一条长龙:they formed a human chain







bet | BrE bɛt, AmE bɛt | 及物动词:赌，用...打赌，用...下注；敢说/不及物动词:赌博；确信；/名词:打赌；赌注；选择；推测
有绝对把握…:you can bet your life or your bottom dollar or your boots that
你敢肯定吗？:you want to bet on it?
当然！:you bet!
赌赢/赌输:to win/lose a bet




timetable | BrE ˈtʌɪmteɪb(ə)l, AmE ˈtaɪmˌteɪbəl | 名词:时间表，日程表；课程表；时刻表/及物动词:把...排入时间表/时刻表/课程表
制订会议/谈判的日程表:to set up a timetable of meetings/negotiations
按严格的时间表运作:to work to a strict timetable
汽车/火车时刻表:a bus/train timetable
公共汽车定于上午11:30发车:the bus is timetabled to leave at 11.30 a.m.



normality | BrE nɔːˈmalɪti, AmE nɔrˈmælədi | 名词:正常状态
恢复常态:to return to normality






direct | BrE dɪˈrɛkt,dʌɪˈrɛkt, AmE dəˈrɛkt,daɪˈrɛkt | 形容词:直的，直系的；直达的，直接的；直率的。直截了当的；截然的/副词:直达地；直接地/及物动词:给...指路；指挥；使...转向，把...对准，使...集中；使...针对，把...转到；管理；指示；导演/不及物:担任导演
（没）有直接危险的:in (no) direct danger
与某物截然相反的一面:the direct opposite of sth
请问到车站怎么走？:can you direct me to the station?
命令某人做某事:to direct sb to do sth;




eligible | BrE ˈɛlɪdʒɪb(ə)l, AmE ˈɛlədʒəb(ə)l | 形容词:有资格的；合意的
有资格做某事:to be eligible for sth/to do sth;
他有投票资格:he is eligible to vote





vaccination | BrE vaksɪˈneɪʃ(ə)n, AmE ˌvæksəˈneɪʃ(ə)n | 名词:接种
某疫苗的接种:a vaccination against or for sth;
接种疫苗:to have a vaccination
接种计划:a vaccination programme




state | BrE steɪt, AmE steɪt | 名词:状况；焦虑不安；脏乱；态；国家；州；政府；国家礼仪；/专有名词:美国/形容词:国家的；州的/国事礼仪的/及物动词:陈述；说明；规定；陈述
他思维混乱: he is in a confused state of mind
国中之国:a State within a State
政府救济金:state benefits
表示打算参加竞选:to state one's intention to run for election




accordingly | BrE əˈkɔːdɪŋli, AmE əˈkɔrdɪŋli | 副词:因此；相应地
他们终止了援助，所以我也就取消了这个项目:
they withdrew support and accordingly I cancelled the project
不管我作出什么决定，我希望你都能采取相应的行动:
whatever I decide, I expect you to act accordingly




inch | BrE ɪn(t)ʃ, AmE ɪn(t)ʃ | 名词:英尺；少许/不及物动词:缓慢移动/及物动词:使缓慢移动
8英寸的降雨量/降雪量:8 inches of rain/snow;
一点一点地:inch by inch
险些丧命:to be within an inch of death or one's life
向某物缓慢移动:to inch towards sth




indication | BrE ɪndɪˈkeɪʃ(ə)n, AmE ˌɪndəˈkeɪʃ(ə)n | 名词:迹象
是某事的端倪:to be an indication of sth
他没有表示…:he gave no indication that …
所有迹象表明…:there is every indication that …
剩余工作量的标志:an indication of how much remains to be done



expectation | BrE ɛkspɛkˈteɪʃ(ə)n, AmE ˌɛkspɛkˈteɪʃ(ə)n | 名词:预料；希望。要求
出乎意料地:contrary to or against all expectation(s);
我预计…:it is my expectation that …
出乎意料:beyond all expectation(s)
对某人/某事物抱有很高的期望: to have great expectations of sb/sth



spike | BrE spʌɪk, AmE spaɪk | 名词:尖状物；道钉；鞋钉；尖峰；穗状花序 /复数形式: 钉鞋/及物动词:用尖物刺穿；将烈酒掺入；弃用；挫败
被钉在某物上:to be spiked on sth




significant | BrE sɪɡˈnɪfɪk(ə)nt, AmE sɪɡˈnɪfɪkənt | 形容词:重要的，值得关注的；有意义的；意味深长的
…很能说明问题:it is significant that …
还有一个非常重要的问题。:There remained one significant problem.




vaccine | BrE ˈvaksiːn,ˈvaksɪn, AmE vækˈsin | 名词:疫苗/防毒软件
狂犬病/破伤风疫苗:rabies/tetanus vaccine
预防肺结核的疫苗:a vaccine against or for TB





hesitant | BrE ˈhɛzɪt(ə)nt, AmE ˈhɛzədənt | 形容词:犹豫的
对是否做某事犹豫不决: to be hesitant about doing sth
他读得结结巴巴:his reading was hesitant



uptick | BrE ˈʌptɪk, AmE ˈəptɪk | 名词:小幅增加
如果你对下个季度的预测时没有将一个业务上升纳入其中？:
If next quarter's forecast doesn't include an uptick in business?





nationally | BrE ˈnaʃ(ə)n(ə)li, AmE ˈnæʃ(ə)nəli | 副词:全国性的；在全国范围内
举国皆知/庆祝:to be nationally known/celebrated
举行的会议有地方性的，有全国性的。:
Meetings were held locally and nationally.





route | BrE ruːt, AmE rut,raʊt | 名词:路途；常规路线，自行车道，航线；公路；规定路线；途径；递送路线；/及物动词:按路线发送
安排路线:to plan a route
走不同路线的: by a different route
交通路线: a traffic route
传染途径:a route of infection




sort | BrE sɔːt, AmE sɔrt | 名词:种类；某种；某一类人；人/及物动词:把…分类，分拣，整理；挑出，分开；修理
那种人:people of that sort
它是什么品种的狗/他是什么样的人？:what sort of dog/man is he?
我们勉强取得了一点进步:we made progress of sorts
sort of:有点理解/同情:to sort of understand/sympathize
sort of:6点左右来吧:come at sort of 6 o'clock



constraint | BrE kənˈstreɪnt, AmE kənˈstreɪnt | 名词:限制；强迫
对某人加以限制:to impose/put a constraint on sb
无拘无束地: without constraint
被迫做某事:to do sth under constraint




particularly | BrE pəˈtɪkjʊləli, AmE pə(r)ˈtɪkjələrli | 副词:专门；特别；具体的
专门为了某事选出来:to be particularly selected for sth
交通状况很差，尤其是在市中心。:Traffic is bad, particularly in the city centre.





premium | BrE ˈpriːmɪəm, AmE ˈprimiəm | 名词:附加费，津贴；溢价；保险费；/形容词:优质高价的
支付额外费用购买/高价出售:to buy/sell at a premium
以高于面值的价格卖股票:to sell shares or stock at a premium
时间很紧张:time is at a premium
优质伏特加酒:premium vodka




chief | BrE tʃiːf, AmE tʃif | 名词:部落首领；领袖；老板/形容词:首要的，主要的；最高级别的
将多兵少:too many chiefs and not enough Indians
党魁:a party chief
国防部高官:defence chiefs
首席顾问:the chief adviser





economist | BrE ɪˈkɒnəmɪst, AmE əˈkɑnəməst | 名词:经济学家
《经济学家》杂志上的一篇文章讲到这种药可能有副作用。：
According to an article in The Economist the drug could have side effects.






massive | BrE ˈmasɪv, AmE ˈmæsɪv | 形容词:厚实的，粗大的；巨大的，大量的，大规模的，大额的；非常严重的；极为成功的
大出血/严重中风:a massive haemorrhage/stroke
该乐队会大获成功:the band are going to be massive
这可能意味着大量的政府工作人员要暂时下岗。:
This could mean a massive furlough of government workers.




leisure | BrE ˈlɛʒə, AmE ˈliʒər,ˈlɛʒər | 名词:空闲/名词前:空闲的，业余的，休闲的
做某事的空闲时间: the leisure for or to do sth
不慌不忙地做某事:to do sth at leisure
趁闲暇时做某事:to do sth at one's leisure
休闲、体育和旅游活动指南:the guide to leisure, sport and tourism







blast | BrE blɑːst, AmE blæst | 名词:爆炸；一阵；冲击波；突然的响声；功率；严厉的批评；狂欢/及物动词:炸；炸出；向...猛吹；痛斥；猛踢/不及物动词:突然鸣响；疾驰/感叹:该死
爆炸后果:blast effect
阵阵热浪:blasts of hot air
他短促地按了按喇叭:he gave a quick blast on the horn
机器在全速运转:the machine is operating at full blast



belt | BrE bɛlt, AmE bɛlt | 名词:腰带，安全带，弹药袋；地带，气候带，星带；传送带；段级标识带；重击/及物动词:用带子系紧；用皮带抽；猛击/不及物动词:飞奔，疾驰
省吃俭用:to tighten one's belt
不公正:below the belt
股票经纪人聚居区:the stockbroker belt
猛击某人:to give sb a belt



federal | BrE ˈfɛd(ə)r(ə)l, AmE ˈfɛd(ə)rəl | 形容词:联邦制的；联邦政府的
联邦制国家:a country with a federal system
US 联邦政府: the federal government or administration
联邦法院:federal court
US 过分夸大某事:to make a federal case out of sth



scrap | BrE skrap, AmE skræp | 名词:碎片，片段，点滴；下脚料，面包屑；少量；废金属；打架争吵/及物动词:报废；取消，废除/不及物:打架，争吵-scrapping-scrapped
碎布料:scraps of material
零星消息/信息:scraps of news/information
他一点儿活儿都不干！:he never does a scrap of work!
两国政府停止了和谈:the two governments scrapped the peace talks



memorandum | BrE mɛməˈrandəm, AmE ˌmɛməˈrændəm |
noun plural memoranda | ˌmeməˈrændə | or memorandums
拟订一份备忘录:to prepare or draw up a memorandum;
一份给某人/某人给某人的备忘便条: a memorandum to/from sb to sb;



framework | BrE ˈfreɪmwəːk, AmE ˈfreɪmˌwərk | 名词:构架；体系，结构
在宪法的框架内:within the framework of the constitution






sign | BrE sʌɪn, AmE saɪn | 名词:符号；公告，路标，提示牌，招牌；手势；迹象；征兆；星座/及物动词:签，在...上签名，签订；和...签约；用手语表演；以路牌指示；示意/不及物动词:签名；签约；打手语
按照路标的指引去市中心:follow the signs for the city centre
她点头示意我们坐下:she nodded as a sign for us to sit down
人们经常通过送花表达爱意:flowers are often given as a sign of affection
签合同:to sign a contract



reform | BrE rɪˈfɔːm, AmE rəˈfɔrm | 及物动词:改良，改造，改革/不及物:改过自新/名词:改革，变革
刑事司法/刑罚制度的改革:the reform of criminal justice/the penal system
意义深远/根本性/大刀阔斧的变革:far-reaching/radical/sweeping reforms





commission | BrE kəˈmɪʃ(ə)n, AmE kəˈmɪʃən | 名词:委员会；佣金；手续费；委托；委任状；犯罪；在使用中/及物动词:委托创作；授予...委任状；将...投入使用
人权委员会:a commission on human rights
受委托做某事:to have a commission to do sth
新潜艇将在6月投入服役:the new submarine will be in commission in June
约作者写小说:to commission an author to write a novel




minister | BrE ˈmɪnɪstə, AmE ˈmɪnəstər | 名词:部长；外交使节；牧师/不及物动词:照料某人/照顾某人的需要
卫生部长受到来自各方的责难。
The health minister has come under fire from all sides.




describe | BrE dɪˈskrʌɪb, AmE dəˈskraɪb | 及物动词:描述；形容
称某人为白痴:to describe sb as an idiot
这可以说是漂亮:it could be described as pretty





inconsistent | BrE ɪnkənˈsɪst(ə)nt, AmE ˌɪnkənˈsɪst(ə)nt | 形容词:反常的，不一致的；前后矛盾的；反复无常的
与某事物相悖:to be inconsistent with sth;




adverse | BrE ˈadvəːs, AmE ædˈvərs,ˈædˌvərs | 形容词:不利的
恶劣的天气:adverse weather conditions
逆境/逆风:adverse circumstances/winds




unreasonable | BrE ʌnˈriːz(ə)nəb(ə)l, AmE ˌənˈriz(ə)nəb(ə)l | 形容词:不讲道理的；过分的
在晚得离谱的时候:at an unreasonable hour




provocative | BrE prəˈvɒkətɪv, AmE prəˈvɑkədɪv | 形容词:撩人的；引起争议的，挑衅的
他是在蓄意挑衅:he is being deliberately provocative





embassy | BrE ˈɛmbəsi, AmE ˈɛmbəsi | 名词:大使馆
又有300人在美国大使馆避难。
A further 300 people have taken refuge in the US embassy.





sincerity | BrE sɪnˈsɛrəti, AmE sɪnˈsɛrədi | 名词:真诚
十分坦诚地:in all sincerity
和我谈过话的人中没有一个怀疑他作为一个政治家的诚意。
Nobody that I spoke to doubted his sincerity as a politician.





bind | BrE bʌɪnd, AmE baɪnd | 及物动词:捆，束，包扎；使结合；束缚；冻结，粘合；给...镶边；装订/不及物动词:冻结，粘合；锁死/名词:麻烦事；困境
